lakename,pearsonr,point_biserial
vattern,0.308468668,-0.464333098
suwa,0.395723799,-0.442200771
grand_traverse_bay,0.181295158,-0.435203378
george,0.31724014,-0.420780871
sarnersee,0.41883195,-0.406599244
bielersee,0.400819343,-0.389363252
randsfjorden,0.289666494,-0.38197806
hallwilersee,0.401546645,-0.379249755
sempachersee,0.401546645,-0.357506259
untersee,0.410269908,-0.346426299
murtensee,0.410517872,-0.339723467
baldeggersee,0.401546645,-0.335538652
champlain,0.313866471,-0.313475217
greifensee,0.401546645,-0.246263769
aegerisee,0.401546645,-0.228107486
balaton,0.317217874,-0.141244163
sebago,0.334421972,-0.099026467
pfaffikersee,0.401546645,-0.088164
mjosa_-_kisa-kapp,0.147331571,-0.084301912
