time,temperature
1851,-7.9197765222222225
1852,-9.559927576923076
1853,-6.634204913333333
1854,-9.033978784444445
1855,-9.1102878
1856,-9.841905417582417
1857,-9.675189062222222
1858,-7.619736483333334
1859,-7.927629727777778
1860,-8.869332785714285
1861,-8.183134505555556
1862,-8.441935706666667
1863,-7.434595933333334
1864,-7.383785267032967
1865,-8.905349477777778
1866,-8.180137106666667
1867,-8.294293937777777
1868,-11.479251763736263
1869,-7.861009417777778
1870,-6.955286430000001
1871,-8.585841913333333
1872,-9.084120087912087
1873,-10.663161233333334
1874,-7.405665095555555
1875,-11.665079028888888
1876,-7.454444769230769
1877,-8.682514583333333
1878,-6.155248037777778
1879,-9.48838391111111
1880,-5.982592537362637
1881,-10.119900788888891
1882,-5.916007224444444
1883,-9.674417728888887
1884,-9.06941331978022
1885,-10.105783182222224
1886,-8.852079351111112
1887,-10.035065744444443
1888,-10.298260500000001
1889,-6.997755601111112
1890,-5.625847706666667
1891,-8.899722288888888
1892,-6.074117221318682
1893,-10.68837788
1894,-8.962047222222223
1895,-8.475152922222222
1896,-7.972977590109891
1897,-8.103825457777777
1898,-7.304488704444444
1899,-8.333005244444443
1900,-6.975625651111111
1901,-9.49550823111111
1902,-8.137864531111111
1903,-8.019201033333333
1904,-11.772884274725275
1905,-11.611412833333333
1906,-6.0708730611111115
1907,-10.70006231111111
1908,-8.145578276923077
1909,-7.483900344444445
1910,-7.889078428888888
1911,-9.585651377777776
1912,-8.935561313186813
1913,-5.789280854444444
1914,-9.262239106666666
1915,-6.745910844444444
1916,-7.5192434505494505
1917,-9.642346144444446
1918,-12.392551283333333
1919,-6.023341531111111
1920,-11.130028450549451
1921,-6.4334774844444444
1922,-8.578720022222223
1923,-10.411960933333333
1924,-7.303263604395604
1925,-8.003142773333334
1926,-8.298844073333333
1927,-8.093372083333334
1928,-7.117124874725274
1929,-7.0754413666666665
1930,-7.455839857777779
1931,-7.582835906666666
1932,-4.669201025274725
1933,-4.031691511111111
1934,-11.528535016666666
1935,-10.09317478888889
1936,-10.142798802197802
1937,-4.540049387777778
1938,-7.824054168888889
1939,-7.502670793333333
1940,-9.322436560439561
1941,-8.177601344444444
1942,-7.932030797777777
1943,-9.371166052222222
1944,-8.564559263736264
1945,-9.716280618888888
1946,-9.118035333333333
1947,-7.528643595555556
1948,-10.316351763736265
1949,-4.778283368888888
1950,-5.923930221111111
1951,-6.186914773333333
1952,-6.146185003296703
1953,-4.884789896666668
1954,-5.8179210066666665
1955,-8.000427755555556
1956,-7.809757280219781
1957,-7.4740610044444455
1958,-7.125969793333334
1959,-10.8223266
1960,-6.224000476923077
1961,-9.153998974444445
1962,-8.351288755555554
1963,-9.34464422
1964,-8.49207538021978
1965,-8.176958422222222
1966,-6.951910862222223
1967,-7.333566388888889
1968,-9.406637153846154
1969,-7.658574628888889
1970,-10.059700733333333
1971,-9.581949722222223
1972,-7.7896504802197795
1973,-7.3819229422222215
1974,-7.289348444444444
1975,-5.6679890422222226
1976,-8.451434492307692
1977,-9.768502277777777
1978,-9.745936813333334
1979,-9.335019594444445
1980,-6.99281624065934
1981,-8.491199035555557
1982,-8.955956015555556
1983,-5.123031878888889
1984,-6.6920611736263735
1985,-7.061380657777777
1986,-8.422063522222222
1987,-7.831187831111111
1988,-6.6215115241758244
1989,-7.306911175555555
1990,-7.765559704444445
1991,-5.664716773333334
1992,-7.534037846153847
1993,-8.2641187
1994,-10.788875577777779
1995,-5.788743883333333
1996,-8.458653428571427
1997,-5.348063464444445
1998,-4.69408453
1999,-5.142818102222223
2000,-6.505618303296703
2001,-7.963569454444444
2002,-3.162599892222223
2003,-9.436067088888889
2004,-9.103111318681318
2005,-7.663927946666667
2006,-5.306113905555556
2007,-6.475552932222222
2008,-6.202341041758242
2009,-7.992458522222223
2010,-5.657322544444444
2011,-7.708194598888889
2012,-4.26254759010989
2013,-5.665240996666666
2014,-8.28314105111111
2015,-9.837450086666667
2016,-3.235773405494506
2017,-3.87530207
2018,-6.649618118888888
2019,-7.402066358888889
