lakename,lat,lon
aegerisee,47.12,8.62
balaton,46.9073,18.0448
baldeggersee,47.2003,8.26
bielersee,47.0811,7.1696
champlain,44.5,-73.33
george,43.83,-73.43
grand_traverse_bay,44.77,-85.62
greifensee,47.3478,8.6793
hallwilersee,47.2772,8.2173
mjosa_-_kisa-kapp,60.76,10.83
murtensee,46.9276,7.074
pfaffikersee,47.3508,8.7824
randsfjorden,60.5786,10.3167
sarnersee,46.8698,8.2206
sebago,43.8708,-70.5669
sempachersee,47.1441,8.1549
suwa,36.04,138.08
untersee,47.6957,9.0232
vattern,58.33265875,14.489715
